index,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed
39,78,housemaid,single,university.degree,no,yes,yes,cellular,jul,thu,1045,1,999,6,failure,-2.847125189838062,94.3899645039233,-44.480642360318555,1.7528585592188883,5017.5
40,34,admin.,married,illiterate,yes,unknown,yes,telephone,oct,fri,394,15,999,3,success,0.2916115782182058,94.67488701723249,-39.88758589910944,0.743560857836496,4963.6
41,23,unemployed,single,basic.6y,yes,no,unknown,telephone,mar,wed,1265,29,999,6,nonexistent,-3.244022163022772,93.15934995103335,-38.22001218231419,2.92156762179507,5017.5
42,73,student,unknown,university.degree,yes,yes,no,cellular,nov,tue,4557,37,999,2,success,-2.6925595727533835,92.91913636808343,-38.1546763281448,1.3196063902562356,5228.1
43,18,unemployed,unknown,basic.9y,no,yes,yes,telephone,nov,thu,1684,10,999,6,success,-0.6977503444383353,92.61213936438796,-30.87154533016581,1.3353299834298666,5076.2
44,20,technician,unknown,illiterate,yes,yes,yes,telephone,jun,tue,4474,34,999,0,failure,0.06308398941589122,93.72665548239402,-32.665363207384345,2.3966159945841268,5008.7
45,62,management,divorced,basic.4y,yes,no,no,cellular,oct,mon,3861,10,999,6,success,0.7522531386157394,93.38009630879976,-33.08338125120186,2.0559153152111125,5017.5
46,37,technician,divorced,professional.course,yes,yes,yes,telephone,nov,tue,3349,19,999,5,failure,-0.14826709538955107,92.627314741838,-36.82354478569937,4.797196859579362,5017.5
47,74,management,unknown,high.school,unknown,no,unknown,cellular,apr,fri,712,21,999,3,nonexistent,-2.280609405588021,94.71687702243906,-47.375274892101196,3.332028202349153,5017.5
48,22,blue-collar,married,basic.9y,unknown,no,yes,cellular,aug,thu,3525,4,999,3,nonexistent,-3.3924688060625674,92.7424892856273,-30.625976521834957,4.316896568185142,5076.2
49,73,entrepreneur,unknown,university.degree,unknown,yes,unknown,telephone,jul,mon,2674,26,999,4,failure,-1.793700468128382,92.95646736728139,-39.47595193563296,4.008441458926994,5076.2
50,36,student,unknown,illiterate,unknown,yes,unknown,cellular,oct,wed,625,14,999,5,failure,-1.9071070855386465,92.34142161174213,-36.16728180988432,3.0922054575780087,5099.1
51,17,self-employed,divorced,basic.9y,yes,no,no,telephone,jul,thu,426,39,999,0,failure,0.28779058451547224,93.2837834972767,-35.84179984245853,1.4797384601710686,5099.1
52,55,admin.,divorced,basic.9y,yes,no,no,cellular,oct,mon,3949,41,999,5,nonexistent,0.011713529140341628,94.65779232638106,-47.9483954501194,4.134895595351777,5008.7
53,71,technician,unknown,basic.4y,yes,unknown,no,cellular,aug,tue,2163,36,999,0,nonexistent,-1.352769241927147,94.18706630244394,-36.22381532905308,2.06390774737077,4963.6
54,62,housemaid,married,basic.6y,yes,no,unknown,cellular,oct,fri,4711,33,999,5,failure,-0.4035159758015201,92.90994751136041,-36.01178986922938,2.451350944101393,4963.6
55,74,housemaid,divorced,illiterate,yes,yes,no,telephone,jul,wed,2663,36,999,4,success,-2.763271863027498,92.56137430180921,-31.250378909096973,4.999911889379267,5191.0
56,59,retired,divorced,university.degree,unknown,no,no,telephone,nov,mon,1198,16,999,5,success,-3.2054093121498903,94.6381537215728,-43.38055820544553,0.8589785866358224,5008.7
57,24,entrepreneur,unknown,basic.9y,yes,yes,no,telephone,apr,thu,3456,7,999,0,nonexistent,-2.3091957353992267,93.245998202774,-47.03780765933615,1.2746257595610033,5191.0
58,50,blue-collar,married,illiterate,unknown,unknown,no,telephone,apr,fri,347,43,999,5,success,0.7706701058855905,93.14648586357674,-38.751065719827,2.192976351065401,5191.0
59,54,admin.,unknown,university.degree,no,yes,no,telephone,aug,thu,4330,16,999,2,nonexistent,1.2487022746848413,92.49940930382016,-32.06090014298718,1.176675948433706,5099.1
60,56,housemaid,single,illiterate,no,no,unknown,cellular,jul,fri,1136,3,999,4,nonexistent,-2.5135525422427483,93.22200281447904,-46.81609939565413,4.634576394379755,5191.0
61,75,technician,unknown,professional.course,no,no,no,cellular,nov,tue,4461,32,999,0,nonexistent,-1.644882882651674,94.36805107812155,-42.324696348919545,1.0857999475457678,5008.7
62,43,housemaid,unknown,illiterate,no,unknown,unknown,telephone,sep,mon,177,36,999,2,success,-1.5042208989663455,94.03338569046103,-32.67403687137201,2.3830503570260873,5195.8
63,65,unemployed,unknown,professional.course,no,yes,no,telephone,sep,mon,4716,29,999,5,failure,-2.8784514504547145,93.61191457753624,-42.141544598696385,4.891594185749081,4991.6
64,33,unemployed,married,illiterate,yes,yes,yes,cellular,may,fri,1046,34,999,3,nonexistent,0.07316075071787687,92.75890204032721,-47.21148573258147,3.9027453273079553,5195.8
65,21,student,married,high.school,unknown,yes,no,telephone,dec,wed,4338,31,999,6,failure,-1.8250354061151353,94.29835161811323,-29.961904937358653,2.307896430298115,5023.5
66,79,entrepreneur,married,professional.course,no,no,no,cellular,mar,mon,1390,3,999,4,success,0.17223816380646628,92.23111354382007,-40.9938569554066,0.9684012836073771,5023.5
67,61,self-employed,unknown,professional.course,no,yes,no,cellular,aug,mon,2201,30,999,1,success,-1.3746101954559062,94.76617394339135,-27.457689384388505,4.710219240308188,5099.1
68,20,blue-collar,single,basic.4y,no,unknown,no,telephone,aug,tue,2197,14,999,0,nonexistent,-0.3168727225565324,94.6752967977948,-28.059026449842154,4.905893095516737,5176.3
69,30,retired,single,illiterate,unknown,unknown,unknown,telephone,apr,wed,2735,28,999,6,nonexistent,-1.4729150320804558,93.84014766755136,-50.271704136765024,0.6916216268012809,5099.1
70,21,management,divorced,basic.4y,no,no,unknown,telephone,jun,mon,3760,34,999,0,failure,0.4604969143124733,94.12345610781438,-44.43610022210966,1.9918392564600174,5195.8
71,25,retired,single,basic.6y,unknown,yes,yes,telephone,sep,wed,3267,39,999,1,success,-0.659298043885959,92.89068227584922,-48.04676529841237,1.366095175903478,5099.1
72,24,retired,married,professional.course,yes,no,unknown,telephone,sep,tue,964,48,999,2,success,-2.8605816269255295,94.1416605124806,-49.7178906384765,4.681818205953205,5228.1
73,50,management,single,basic.4y,yes,no,no,cellular,nov,thu,3191,16,999,0,failure,1.323378651551025,92.86102597351861,-50.43675503479132,5.035683903949615,5191.0
74,28,housemaid,unknown,basic.6y,yes,no,unknown,telephone,mar,mon,3803,33,999,5,failure,-1.1558696148501229,93.71036038215635,-49.845218738410544,4.825297584171253,5099.1
75,26,retired,married,basic.9y,yes,unknown,yes,telephone,mar,tue,4374,47,999,3,nonexistent,-3.006823445065237,93.8008563382532,-35.85787281005898,0.7802016970764276,4963.6
76,33,student,married,illiterate,no,yes,yes,cellular,jun,mon,1187,43,999,6,success,-0.40846744723432504,92.40067891614218,-42.658415116606925,4.852297525394406,5099.1
77,57,student,unknown,professional.course,unknown,unknown,no,telephone,jun,mon,3426,23,999,6,nonexistent,1.0475382629225822,93.9049022638983,-30.465826177871904,1.3020115243507995,5191.0
78,33,services,single,basic.6y,unknown,yes,no,telephone,may,wed,412,6,999,6,nonexistent,-2.4268350773194727,92.94352055278102,-37.89197276295465,3.032458335186045,5099.1
79,65,services,divorced,basic.9y,no,yes,unknown,cellular,oct,thu,4219,47,999,0,failure,-1.5778424514415659,93.98056135287553,-45.016693870290375,1.560429487714336,4991.6
80,22,retired,divorced,basic.9y,no,no,yes,cellular,dec,mon,2531,17,999,0,nonexistent,1.379583674930966,94.577469469935,-37.21088134414981,2.66898495245192,5099.1
81,32,blue-collar,divorced,professional.course,unknown,yes,no,cellular,jul,wed,4082,27,999,2,failure,0.8765103188024423,94.13386613782383,-45.92949177831379,2.9907934997311676,5195.8
82,28,entrepreneur,married,basic.4y,no,no,no,cellular,jul,fri,3732,20,999,5,failure,1.0407012157899636,92.40572793316852,-29.342099806895583,1.0519781183684465,5228.1
83,25,unemployed,single,basic.6y,no,no,unknown,telephone,aug,fri,4627,16,999,4,success,0.07665637951723658,92.6947417246082,-36.956410152213806,1.9470465026275723,5008.7
84,34,entrepreneur,married,basic.9y,unknown,yes,unknown,telephone,nov,thu,1481,49,999,4,nonexistent,-0.13407264677917263,92.37515891533084,-49.30645898756618,1.749024570579464,4963.6
85,40,retired,married,high.school,yes,unknown,unknown,cellular,jun,tue,1020,40,999,5,nonexistent,-1.8019127097474763,92.32199879123523,-41.21457728407514,4.356511100818465,5017.5
86,78,self-employed,divorced,basic.6y,yes,yes,unknown,telephone,jun,mon,1181,36,999,0,failure,-2.776134078749216,93.68386108954965,-44.218517195325305,0.8102857199445519,5228.1
87,35,management,single,high.school,yes,yes,no,telephone,mar,thu,101,41,999,5,success,0.935951292522113,94.36137541747966,-48.424918482050835,4.682584342133759,5191.0
88,26,admin.,married,basic.4y,unknown,unknown,unknown,cellular,sep,mon,4812,26,999,1,success,-0.6629232000864853,94.79454477249803,-42.48022693093719,3.7310515854390918,5176.3
89,33,student,married,university.degree,yes,no,yes,telephone,mar,wed,3910,16,999,2,nonexistent,1.1396486476062617,94.6387716125861,-39.7160044965172,3.359888788639378,5176.3
90,78,retired,divorced,basic.4y,yes,unknown,unknown,telephone,jul,mon,4534,28,999,3,success,0.8690585569063942,94.30677050832668,-36.52649227114096,1.1216894659047694,5023.5
91,71,management,single,basic.6y,unknown,yes,unknown,telephone,jun,mon,2101,40,999,0,failure,-0.10443586967913365,94.24004164680973,-36.27005891677767,2.9608109557512905,5008.7
92,19,unemployed,divorced,university.degree,yes,no,yes,cellular,nov,thu,255,33,999,2,nonexistent,-0.369791979003689,94.59407689557136,-35.10463352199127,2.7950920248586755,4963.6
93,33,services,divorced,professional.course,no,yes,yes,cellular,oct,thu,2050,32,999,2,nonexistent,0.8704294465091142,92.84197662824141,-33.9804741421377,4.0377183014201785,5023.5
94,44,services,divorced,basic.6y,unknown,unknown,yes,telephone,aug,tue,3812,36,999,3,nonexistent,-2.4579893520106726,92.33926738726946,-48.858931788809734,3.289310096806699,5023.5
95,66,management,single,university.degree,unknown,no,unknown,cellular,dec,thu,1105,37,999,6,failure,-0.04420360277910795,93.54700260654096,-30.29880298699489,1.8084467230015342,5076.2
96,23,admin.,married,university.degree,yes,unknown,no,telephone,may,fri,4639,23,999,6,nonexistent,1.0574890049273846,92.6388963790241,-45.99251287238514,1.309142165266001,5099.1
97,77,unemployed,married,university.degree,unknown,unknown,yes,telephone,aug,thu,1368,19,999,1,failure,-0.5538867655790978,93.38641827113038,-35.252826917511,3.619870042421383,5076.2
98,38,student,unknown,basic.9y,yes,no,no,cellular,dec,thu,3082,42,999,1,failure,-0.31307836403424316,94.21616445569244,-48.68203819950739,3.621120262611885,5176.3
99,36,technician,married,professional.course,no,no,unknown,telephone,oct,fri,2105,37,999,4,success,0.6136983338530952,93.72024886153147,-28.832378984886407,4.650698350150937,4991.6
100,55,student,divorced,professional.course,unknown,yes,unknown,telephone,jul,wed,1026,28,999,2,failure,0.4077756599660587,94.4255958779704,-44.69764610061277,0.8456300107693882,5023.5
101,22,admin.,married,university.degree,yes,unknown,no,telephone,apr,tue,2720,21,999,1,failure,0.5566332561574949,94.59777255074263,-32.23796565802475,3.066372600131271,5195.8
102,65,entrepreneur,divorced,professional.course,no,yes,unknown,cellular,nov,mon,4065,37,999,3,nonexistent,-3.1134007422163847,92.90512221740411,-32.200404020341104,2.3979320170539298,5076.2
103,74,housemaid,single,basic.4y,no,unknown,yes,telephone,may,tue,4039,7,999,2,success,-1.0071267330854576,92.50829337966873,-41.106800288428076,1.0134280561819125,5195.8
104,49,housemaid,divorced,illiterate,no,no,yes,telephone,sep,fri,4807,15,999,2,success,-2.6513706263546917,92.71624066340786,-44.71432034960476,2.922404145108705,5191.0
105,57,housemaid,married,university.degree,no,yes,unknown,telephone,jul,mon,3275,8,999,6,success,-2.4071168990978036,94.50183030875155,-31.242608760614804,4.770803785040342,5228.1
106,37,unemployed,married,illiterate,no,unknown,yes,cellular,nov,wed,4961,27,999,4,nonexistent,0.8595428871728727,93.62688371243533,-50.761966476933374,3.5233792942627455,5023.5
107,68,technician,divorced,basic.9y,unknown,no,yes,telephone,jul,mon,1330,15,999,3,failure,-2.1215280480589414,93.76310205483668,-49.71789603336382,4.435473709261199,5008.7
108,24,retired,unknown,illiterate,unknown,no,yes,telephone,dec,wed,3618,35,999,5,nonexistent,-0.5648440685536804,92.35888867592547,-39.747498417668126,4.176228182776553,5099.1
109,17,management,divorced,university.degree,unknown,no,unknown,cellular,oct,wed,4319,27,999,4,success,0.04695515612548773,93.45461154561359,-48.722536817482236,1.330181154730743,4963.6
110,61,technician,single,illiterate,unknown,no,no,cellular,jun,mon,1697,40,999,1,success,-0.5205745940835125,93.0798893255819,-43.93148324244004,0.7911989509943367,5023.5
111,22,retired,divorced,basic.6y,yes,unknown,unknown,telephone,jul,tue,2981,23,999,3,nonexistent,-2.586563935449683,94.66159998989511,-49.295048103438695,1.924311156700003,5176.3
112,61,unemployed,divorced,professional.course,unknown,unknown,no,telephone,jul,mon,2516,3,999,0,failure,-1.0362781896892335,93.09868262057968,-44.96014098668689,1.3180502836294297,5008.7
113,38,housemaid,unknown,high.school,unknown,unknown,unknown,cellular,mar,thu,657,21,999,2,failure,0.5845112576006746,94.49811880196818,-34.00040087389701,1.7247727963607669,5008.7
114,65,entrepreneur,married,illiterate,no,no,yes,telephone,dec,mon,2884,48,999,0,success,0.8144681691446602,93.80310918154916,-32.32127303904203,0.8940381627467285,5176.3
115,48,technician,married,university.degree,unknown,unknown,no,telephone,sep,tue,4988,23,999,2,success,-0.1559611422882181,92.61027774110207,-42.66003096202489,1.4356883884910854,4991.6
116,71,student,married,basic.4y,yes,yes,unknown,telephone,may,tue,4625,29,999,0,failure,-1.634903901275567,92.42567675259717,-33.37348995714173,2.829774469861818,5191.0
117,73,unemployed,divorced,illiterate,no,unknown,unknown,cellular,apr,fri,4996,17,999,0,success,-2.0116146230575684,92.59504332582607,-26.948889328096357,1.5933581003448136,5191.0
118,19,management,married,university.degree,no,unknown,yes,cellular,apr,fri,1517,2,999,3,nonexistent,-1.1004113064282595,94.75090183135407,-46.141077855771584,2.9334058705823147,5228.1
119,30,unemployed,unknown,university.degree,yes,no,no,telephone,jun,wed,57,9,999,4,failure,-1.1124460211555816,93.11369379280809,-39.510334116826854,3.691589036912373,5008.7
120,78,unemployed,single,high.school,no,unknown,no,cellular,jul,tue,4153,41,999,5,nonexistent,-1.148476066223215,93.17698282705548,-30.865380968036877,2.5873118760818787,5099.1
121,32,housemaid,divorced,basic.6y,no,unknown,yes,cellular,jun,tue,135,30,999,3,nonexistent,-0.7599345663071295,92.5987164905905,-50.061766187629374,4.9921680415550025,5176.3
122,21,self-employed,married,basic.9y,yes,yes,unknown,telephone,may,tue,3474,14,999,1,success,-2.489143370393701,93.16235507473016,-39.151188713429015,1.531796400818838,5008.7
123,25,entrepreneur,single,university.degree,no,no,no,cellular,mar,wed,1524,48,999,4,nonexistent,0.9398611168927391,94.19960608094374,-30.762034038649954,3.271696298494647,5017.5
124,71,unemployed,single,high.school,unknown,unknown,yes,cellular,aug,mon,2198,39,999,4,failure,-2.666555251242345,92.50066764603037,-38.708122207012075,3.1463211417494703,4963.6
125,64,management,single,high.school,no,unknown,no,cellular,jul,mon,2722,24,999,0,success,-0.24602589483356496,94.48597658847503,-42.85721138255151,3.711577903357511,5023.5
126,46,admin.,divorced,university.degree,yes,unknown,unknown,cellular,aug,thu,4882,31,999,3,success,-1.238093770682383,94.38293812274452,-50.40763761145004,3.0365089587221843,5099.1
127,52,unemployed,married,high.school,unknown,yes,unknown,cellular,sep,thu,4078,1,999,0,failure,0.3315284338877107,94.20878925369804,-47.00966450826783,0.997746918267981,5017.5
128,30,admin.,married,basic.9y,unknown,no,no,cellular,may,fri,413,9,999,6,success,-0.4936294018481808,93.25467005213017,-44.5279977154872,3.720235111546645,4991.6
129,38,management,single,basic.4y,yes,yes,no,telephone,jul,thu,438,22,999,4,nonexistent,0.6076270689416972,93.7643359229114,-43.50324707091071,4.414227372718845,5228.1
130,30,blue-collar,single,basic.9y,yes,yes,no,telephone,oct,mon,3539,36,999,5,failure,0.26202806522382005,93.17783719650146,-34.31137192119081,1.5341251243052527,5191.0
131,49,self-employed,married,professional.course,no,yes,unknown,cellular,nov,thu,4615,34,999,0,nonexistent,-0.14199743603538018,93.85110678848316,-32.25157993993719,1.8818008794562302,4963.6
132,59,entrepreneur,unknown,basic.9y,unknown,no,yes,cellular,oct,mon,4782,15,999,4,failure,0.11559339725297324,93.42073315593132,-40.60458215625085,3.955897257938586,5228.1
133,53,blue-collar,single,professional.course,unknown,no,yes,telephone,oct,mon,4049,19,999,2,nonexistent,-0.0018042487913976224,94.79786953109723,-47.78602864809493,1.7128639224699644,5176.3
134,78,management,unknown,university.degree,yes,no,yes,cellular,apr,tue,4132,10,999,4,success,-2.313378227864253,93.12402383604696,-39.68772555171202,4.985359917683555,5176.3
135,17,self-employed,divorced,basic.4y,no,unknown,yes,cellular,jun,thu,4854,24,999,6,nonexistent,-3.0217441552214237,92.76861816485518,-50.32912039235849,4.240849397302604,5191.0
136,40,management,single,high.school,yes,unknown,yes,telephone,apr,fri,682,44,999,6,failure,-2.9174782990810053,92.80717893102126,-31.083090864750915,3.4030643313182907,4963.6
137,63,housemaid,married,basic.6y,unknown,yes,yes,telephone,may,mon,3087,12,999,2,failure,1.032553991777308,93.53050279177447,-47.40865562947332,4.388045066289885,5008.7
138,37,blue-collar,married,professional.course,unknown,unknown,no,telephone,dec,thu,413,24,999,2,failure,-2.946588912541736,92.73637274713928,-46.94928130762557,0.6854178416318084,5176.3
139,45,housemaid,single,high.school,yes,yes,unknown,telephone,dec,thu,1566,36,999,3,nonexistent,-1.8082012930816036,93.09134352693131,-48.26818565513484,1.5218538628866898,5176.3
140,73,admin.,divorced,illiterate,unknown,unknown,unknown,cellular,nov,fri,3322,10,999,3,failure,-2.0336878749670904,94.28821537929409,-49.68767849285246,2.521220433457042,4963.6
141,43,self-employed,single,high.school,unknown,no,unknown,telephone,nov,tue,546,9,999,0,success,-0.4545867911553092,93.77210031927682,-44.47165058273646,1.9089466970281568,5076.2
142,26,retired,married,illiterate,yes,no,no,cellular,may,mon,1975,17,999,5,success,-3.259924075300799,92.84061699335813,-35.68983576417417,1.386650744801456,5076.2
143,21,self-employed,married,illiterate,yes,yes,no,cellular,sep,tue,3433,2,999,0,success,-1.578036331042457,93.10421154171952,-30.667821118686057,2.944378030798925,5228.1
144,55,blue-collar,unknown,basic.6y,unknown,no,no,telephone,aug,tue,1520,24,999,1,nonexistent,-1.9173107050944396,94.42099098463963,-28.634261879531323,1.177750278506111,4963.6
145,37,self-employed,single,illiterate,no,yes,unknown,cellular,may,mon,2525,4,999,0,failure,-2.2795704840354776,92.97182991923277,-41.41517669540877,1.4776929771105805,5195.8
146,58,entrepreneur,married,high.school,yes,yes,yes,telephone,jun,fri,1361,32,999,6,success,1.3577555070932115,92.52199548743806,-33.642912576430575,3.8216488770293457,5008.7
147,77,housemaid,married,basic.4y,unknown,no,unknown,cellular,sep,wed,2719,36,999,5,failure,0.3041482461959606,92.29717334096081,-38.218755524621734,3.0714425992850334,5023.5
148,53,blue-collar,unknown,university.degree,no,yes,no,cellular,apr,tue,120,20,999,6,success,-0.740941013854433,92.76697128305916,-33.21698521015146,4.126984105824675,4963.6
149,50,technician,married,university.degree,no,yes,yes,cellular,dec,thu,3224,3,999,3,failure,0.42262291025785226,92.20924012496161,-31.726647681992922,1.992633966152177,4991.6
150,59,housemaid,married,high.school,yes,yes,unknown,telephone,mar,wed,4576,25,999,0,failure,-3.141326238588014,94.2512388092176,-32.30610214610553,3.5496179406633845,5023.5
151,27,management,unknown,basic.6y,no,no,yes,telephone,may,thu,4122,7,999,3,failure,-3.2921253284908403,93.27949732565898,-44.08962054407563,3.756916470666445,5228.1
152,30,student,unknown,illiterate,unknown,yes,yes,cellular,mar,fri,1068,42,999,0,failure,0.7391828810758478,93.6464815539698,-30.53122641578971,4.074016664301411,5195.8
153,21,entrepreneur,married,basic.6y,yes,yes,yes,telephone,apr,wed,499,39,999,3,nonexistent,-0.9458602942618004,92.62313085633089,-34.14866286456518,4.13980798210033,5008.7
154,67,blue-collar,married,basic.4y,unknown,no,yes,cellular,aug,mon,4867,30,999,0,success,-1.8753875597398604,93.09400188101156,-41.89505505995074,1.9741134079300457,5008.7
155,65,retired,single,professional.course,no,unknown,unknown,telephone,dec,mon,4677,16,999,2,success,0.6735048473598773,94.53766570021774,-30.771772808522808,2.2296797401567954,5191.0
156,28,retired,divorced,high.school,no,yes,unknown,telephone,nov,tue,371,33,999,4,failure,-1.5153164360571936,94.54183073875674,-29.85620448960337,2.4559120182798204,5023.5
